,Date,pos
0,2022-01-04,0.9990418
1,2022-01-05,0.9755223
2,2022-01-06,0.84044516
3,2022-01-07,0.49547657
4,2022-01-11,0.20131342
5,2022-01-12,0.72286946
6,2022-01-18,0.021711634
7,2022-01-19,0.62782055
8,2022-01-31,0.5831785
9,2022-02-01,0.37437925
10,2022-02-02,0.007119646
11,2022-02-03,0.16886806
12,2022-02-04,0.15739211
13,2022-02-08,0.12997209
14,2022-02-13,0.33040464
15,2022-02-17,0.49419355
16,2022-02-18,0.5069102
17,2022-02-21,0.041331694
18,2022-02-22,0.003868147
19,2022-02-25,0.96665806
20,2022-03-01,0.379158
21,2022-03-02,0.6214662
22,2022-03-07,0.42452368
23,2022-03-09,0.001376514
24,2022-03-15,0.2438795
25,2022-03-16,0.3993778
26,2022-03-17,0.997898
27,2022-03-18,0.36217722
28,2022-03-21,0.62914646
29,2022-03-22,0.35642537
30,2022-03-24,0.08115886
31,2022-03-25,0.002079184
32,2022-03-28,0.5008079
33,2022-03-29,0.8415279
34,2022-03-30,0.45396647
35,2022-03-31,0.04816341
36,2022-04-06,0.39917892
37,2022-04-07,0.00072441
38,2022-04-14,0.14548501
39,2022-04-15,0.9674473
40,2022-04-17,0.18704787
41,2022-04-18,0.9955225
42,2022-04-19,0.88106173
43,2022-04-20,0.49880022
44,2022-04-21,0.5267117
45,2022-04-26,5.45E-05
46,2022-04-28,0.19480757
47,2022-04-29,0.5135956
48,2022-05-02,0.28510717
49,2022-05-04,0.21029969
50,2022-05-05,0.56418973
51,2022-05-06,0.000923454
52,2022-05-08,0.01975965
53,2022-05-09,0.071387395
54,2022-05-13,0.14669932
55,2022-05-17,0.417549
56,2022-05-18,0.6313734
57,2022-05-19,0.5010782
58,2022-05-24,0.09747319
59,2022-05-27,0.00092255
60,2022-06-01,0.17308976
61,2022-06-02,0.14392373
62,2022-06-07,0.23057428
63,2022-06-08,0.13464122
64,2022-06-10,0.16060337
65,2022-06-13,0.000786924
66,2022-06-14,0.29176566
67,2022-06-15,0.011791926
68,2022-06-16,0.000333396
69,2022-06-17,0.047917273
70,2022-06-20,0.21018472
71,2022-06-22,0.63590443
72,2022-06-23,0.5595667
73,2022-06-27,0.66624385
74,2022-06-28,0.33918792
75,2022-06-29,0.09321296
76,2022-07-01,0.005638831
77,2022-07-04,0.008271304
78,2022-07-06,0.24484704
79,2022-07-07,0.24360058
80,2022-07-08,0.97444326
81,2022-07-11,0.534221
82,2022-07-12,0.14018103
83,2022-07-13,0.5016772
84,2022-07-14,0.44426224
85,2022-07-18,0.04250667
86,2022-07-19,0.14336492
87,2022-07-22,0.24750005
88,2022-07-25,0.6431328
89,2022-07-26,0.27685016
90,2022-07-27,0.34217736
91,2022-07-28,0.6431867
92,2022-07-31,0.7736843
93,2022-08-03,0.19238128
94,2022-08-08,0.49899662
95,2022-08-09,0.8198084
96,2022-08-10,0.09286925
97,2022-08-12,0.9093423
98,2022-08-18,0.22188215
99,2022-08-22,0.000393354
100,2022-08-24,0.3342165
101,2022-08-25,0.2544793
102,2022-08-26,0.42655325
103,2022-08-30,0.5371397
104,2022-08-31,0.21372162
105,2022-09-01,0.35582948
106,2022-09-02,0.61105514
107,2022-09-06,0.65481013
108,2022-09-07,0.25153843
109,2022-09-08,0.21071684
110,2022-09-09,0.33334315
111,2022-09-13,0.9708146
112,2022-09-15,0.81122756
113,2022-09-16,0.12623785
114,2022-09-19,0.06254199
115,2022-09-20,0.62012005
116,2022-09-27,0.91558814
117,2022-09-28,0.35678467
118,2022-09-29,0.56380856
119,2022-09-30,0.06639408
120,2022-10-01,0.945264
121,2022-10-02,0.000683597
122,2022-10-03,0.07163336
123,2022-10-05,0.9996351
124,2022-10-07,0.5019108
125,2022-10-10,0.6957653
126,2022-10-12,0.002956957
127,2022-10-14,0.02411735
128,2022-10-17,0.18415241
129,2022-10-18,0.33440876
130,2022-10-19,0.6545318
131,2022-10-20,0.18784468
132,2022-10-21,0.5503561
133,2022-10-24,0.12253938
134,2022-10-25,0.120301045
135,2022-10-26,0.99963486
136,2022-10-27,0.49938467
137,2022-10-28,0.014260069
138,2022-10-31,0.42501763
139,2022-11-02,0.35117033
140,2022-11-03,0.5462879
141,2022-11-04,0.20164776
142,2022-11-06,0.34442005
143,2022-11-07,0.2201619
144,2022-11-08,0.26807323
145,2022-11-09,0.08452553
146,2022-11-10,0.22955075
147,2022-11-11,0.06965399
148,2022-11-12,0.024428122
149,2022-11-13,0.36025652
150,2022-11-14,0.09288912
151,2022-11-15,0.18926547
152,2022-11-16,0.23959757
153,2022-11-17,0.34811902
154,2022-11-18,0.2704323
155,2022-11-19,0.06759895
156,2022-11-20,0.003777148
157,2022-11-21,0.12371258
158,2022-11-22,0.23348196
159,2022-11-23,0.27128422
160,2022-11-25,0.001369665
161,2022-11-27,0.7082549
162,2022-11-28,0.18172735
163,2022-11-29,0.29635763
164,2022-11-30,0.29858443
165,2022-12-01,0.28504094
166,2022-12-02,0.22379588
167,2022-12-05,0.40473977
168,2022-12-06,0.09898406
169,2022-12-07,0.447224
170,2022-12-08,0.6000612
171,2022-12-09,0.9693753
172,2022-12-11,0.5481525
173,2022-12-12,0.29308566
174,2022-12-13,0.46494874
175,2022-12-14,0.30969515
176,2022-12-15,0.42349193
177,2022-12-16,0.23042412
178,2022-12-19,0.5303047
179,2022-12-20,0.3198808
180,2022-12-21,0.17098685
181,2022-12-22,0.19996834
182,2022-12-23,0.36160412
183,2022-12-27,0.000422025
184,2022-12-28,0.22613126
185,2022-12-29,0.1250469
186,2022-12-30,0.18629804
