,Date,pos
0,2022-01-05,0.99937695
1,2022-01-06,0.000918775
2,2022-01-07,0.9995306
3,2022-01-12,0.9996645
4,2022-01-21,0.00086003507
5,2022-01-26,0.8341892
6,2022-01-27,0.020702481
7,2022-01-28,0.099980846
8,2022-01-31,0.0006881862
9,2022-02-01,0.6662812
10,2022-02-07,0.75083697
11,2022-02-09,0.97559905
12,2022-02-22,0.99937856
13,2022-02-23,0.77749354
14,2022-02-24,0.21918897
15,2022-02-25,0.74189305
16,2022-02-27,0.2819041
17,2022-03-01,0.7473877
18,2022-03-02,0.711637
19,2022-03-03,0.9863689
20,2022-03-07,0.011845209
21,2022-03-08,0.49994048
22,2022-03-10,0.99957615
23,2022-03-17,0.99962884
24,2022-03-25,0.9993425
25,2022-03-27,0.037192732
26,2022-03-28,0.99922574
27,2022-03-29,0.78793067
28,2022-03-30,0.8169816
29,2022-04-05,0.70060736
30,2022-04-06,0.7449898
31,2022-04-07,0.240259
32,2022-04-08,0.5734636
33,2022-04-10,0.10287907
34,2022-04-11,0.009507183
35,2022-04-14,0.016530804
36,2022-04-17,0.18704787
37,2022-04-18,0.99918056
38,2022-04-19,0.9591411
39,2022-04-22,0.2443472
40,2022-04-26,0.47405493
41,2022-04-27,0.16551016
42,2022-05-01,0.2039567
43,2022-05-05,0.06277381
44,2022-05-08,0.19661318
45,2022-05-09,0.08626273
46,2022-05-10,0.2830121
47,2022-05-11,0.1780663
48,2022-05-12,0.20320499
49,2022-05-13,0.024071656
50,2022-05-14,0.07751046
51,2022-05-15,0.251899
52,2022-05-16,0.071761064
53,2022-05-17,0.6654196
54,2022-05-18,0.0043720566
55,2022-05-19,0.29548216
56,2022-05-20,0.0044690627
57,2022-05-21,0.003462191
58,2022-05-22,0.32229152
59,2022-05-23,0.25217897
60,2022-05-24,0.15059717
61,2022-05-25,0.28582403
62,2022-05-26,0.24724957
63,2022-05-27,0.077863574
64,2022-05-29,0.10445029
65,2022-05-30,0.0012888958
66,2022-05-31,0.6689469
67,2022-06-01,0.15490434
68,2022-06-02,0.14697182
69,2022-06-07,0.6622478
70,2022-06-08,0.2702256
71,2022-06-09,0.00050190225
72,2022-06-10,0.17368858
73,2022-06-13,0.074276626
74,2022-06-14,0.0034543034
75,2022-06-15,0.011791926
76,2022-06-16,0.39200455
77,2022-06-17,0.04027946
78,2022-06-18,0.0007609109
79,2022-06-19,0.38238207
80,2022-06-21,0.57179695
81,2022-06-22,0.2883252
82,2022-06-24,0.34980738
83,2022-06-26,0.0016286134
84,2022-06-27,0.1732196
85,2022-06-29,0.07294366
86,2022-07-01,0.17587622
87,2022-07-11,0.10674484
88,2022-07-12,0.07437183
89,2022-07-14,0.5002636
90,2022-07-19,0.0017588811
91,2022-07-20,0.0015025949
92,2022-07-22,0.19264999
93,2022-07-25,0.49807218
94,2022-07-27,0.00078039593
95,2022-08-04,0.04277081
96,2022-08-05,0.7412223
97,2022-08-08,0.35012937
98,2022-08-09,0.4993024
99,2022-08-10,0.9170651
100,2022-08-16,0.25281155
101,2022-08-17,0.0010023867
102,2022-08-18,0.00047192676
103,2022-08-30,0.00017267388
104,2022-09-01,0.23053885
105,2022-09-02,0.0029079898
106,2022-09-03,0.34615132
107,2022-09-06,0.00024051665
108,2022-09-07,0.0016964925
109,2022-09-08,0.49879125
110,2022-09-09,0.9996178
111,2022-09-12,0.54187125
112,2022-09-13,0.26703823
113,2022-09-14,0.21456596
114,2022-09-20,0.72720623
115,2022-09-21,0.37103686
116,2022-09-26,0.52372724
117,2022-09-27,0.4982693
118,2022-10-03,0.0014267208
119,2022-10-04,0.7151273
120,2022-10-06,0.026228763
121,2022-10-19,0.042185422
122,2022-10-24,0.12488137
123,2022-10-27,0.0011012955
124,2022-10-28,0.6344586
125,2022-11-01,0.74951816
126,2022-11-07,0.533143
127,2022-11-08,0.33381057
128,2022-11-09,0.0015298037
129,2022-11-14,0.23399925
130,2022-11-15,0.021223178
131,2022-11-16,0.0009115534
132,2022-11-17,0.001690503
133,2022-11-21,0.0013774312
134,2022-11-22,0.16324057
135,2022-11-29,0.49854097
136,2022-12-02,0.00096970226
137,2022-12-08,0.20195705
138,2022-12-12,0.49867517
139,2022-12-14,0.0013316924
140,2022-12-29,0.0008314678
141,2022-12-30,0.23923177
